job_name	company_name	min_salary	max_salary	education	workyear	workarea	companytype	issuedate
JAVA初级工程师	香飘飘食品股份有限公司	7000	12000	本科	1	湖州	上市公司	2022-01-01 04:00:37
Java工程师	合肥中盛水务发展有限公司	10000	15000	大专	3-4	合肥-经开区	民营公司	2022-01-01 04:00:37
Java高级开发工程师	中科创达软件股份有限公司	9000	18000	大专	5-7	成都-双流区	上市公司	2022-01-01 04:00:37
Java开发工程师	广州诺图计算机科技有限公司	6000	9000	大专	1	广州-天河区	民营公司	2022-01-01 04:00:37
JAVA开发工程师	端云信息技术（上海）有限公司	13000	15000	大专	2	上海-浦东新区	民营公司	2022-01-01 04:00:37
Java开发工程师	深圳市宇航智能信息技术有限公司	15000	20000	大专	3-4	深圳-龙岗区	上市公司	2022-01-01 04:00:37
Java开发工程师	京北方信息技术股份有限公司武汉分公司	10000	15000	本科	3-4	南昌-红谷滩新区	民营公司	2022-01-01 04:00:37
急聘java双休五险一金早九晚六保底13K	青岛凯莱特信息技术有限公司	10000	15000	大专	3-4	青岛-市南区	民营公司	2022-01-01 04:00:37
Java开发工程师	中企筑链科技有限公司	15000	30000	本科	5-7	杭州-滨江区	民营公司	2022-01-01 04:00:37
Java高级开发工程师	春雨国际健康管理（长沙）有限公司	8000	10000	大专	3-4	长沙-开福区	民营公司	2022-01-01 04:00:37
Java工程师	广东移远通信技术有限公司	10000	20000	本科	3-4	桂林	民营公司	2022-01-01 04:00:37
Java开发工程师	华鹏飞股份有限公司	14000	18000	本科	3-4	深圳-福田区	上市公司	2022-01-01 04:00:37
Java开发工程师	浙江云端保网络科技有限公司	10000	20000	本科	3-4	杭州-滨江区	民营公司	2022-01-01 04:00:37
Java开发工程师	上海复创互联网科技有限公司	15000	25000	本科	3-4	上海-长宁区	民营公司	2022-01-01 04:00:37
Java开发工程师	武汉佳软信息技术有限公司	7000	10000	大专	2	武汉	民营公司	2022-01-01 04:00:37
Java开发工程师	爱思特医疗美容有限公司	8000	13000	大专	3-4	成都-武侯区	外资（非欧美）	2022-01-01 04:00:37
Java中高级开发工程师	湖南新航动力信息科技有限公司	9000	15000	大专	3-4	长沙-岳麓区	民营公司	2022-01-01 04:00:37
高级Java开发工程师	新风天域（天津）投资有限公司	25000	30000	本科	5-7	上海-静安区	外资（非欧美）	2022-01-01 04:00:37
Java开发	上海澎博财经资讯有限公司	10000	18000	本科	2	上海	民营公司	2022-01-01 04:00:37
java开发	广州市百利文仪实业有限公司	6000	8000	大专	1	广州-从化区	民营公司	2022-01-01 04:00:37
JAVA开发工程师	歌联科技（上海）有限公司	12000	20000	本科	2	上海-静安区	合资	2022-01-01 04:00:37
JAVA开发工程师	江苏劳务圈信息技术有限公司	10000	20000	本科	1	昆山	民营公司	2022-01-01 04:00:37
JAVA开发工程师	广汇国际汽车贸易有限责任公司	12000	20000	本科	3-4	西安-灞桥区	民营公司	2022-01-01 04:00:37
Java高级开发工程师	海华税务师事务所有限公司深圳分公司	17000	23000	本科	5-7	深圳-福田区	民营公司	2022-01-01 04:00:37
Java转Android开发	诚迈科技（南京）股份有限公司	8000	16000	本科	1	武汉-东湖新技术产业开发区	外资（欧美）	2022-01-01 04:00:37
Java开发工程师	江苏润和软件股份有限公司	9000	14000	大专	2	深圳-南山区	民营公司	2022-01-01 04:00:37
Java开发工程师	北京南北天地科技股份有限公司广州分公司	6000	12000	本科	1	厦门-集美区	民营公司	2022-01-01 04:00:37
Java开发工程师\	北京四维图新科技股份有限公司	25000	50000	本科	3-4	北京-海淀区	上市公司	2022-01-01 04:00:37
Java开发工程师	四川精创国芯科技有限公司	6000	10000	大专	2	成都-高新区	合资	2022-01-01 04:00:37
Java开发工程师	新智道枢（上海）科技有限公司	15000	30000	大专	3-4	上海-青浦区	民营公司	2022-01-01 04:00:37
JAVA工程师	上海同策房产咨询股份有限公司	30000	40000	本科	5-7	上海-普陀区	合资	2022-01-01 04:00:37
Java开发	杭州博彦信息技术有限公司	10000	15000	大专	2	青岛-市南区	民营公司	9
Java开发工程师	上海润桂荇信息科技股份有限公司	10000	15000	本科	2	上海-长宁区	民营公司	2022-01-01 04:00:37
中高级JAVA开发工程师	深圳市拓保软件有限公司	20000	25000	大专	3-4	无锡	民营公司	2022-01-01 04:00:37
Java高级开发工程师	友邦资讯科技（广州）有限公司	15000	20000	本科	5-7	成都-高新区	外资（非欧美）	2022-01-01 04:00:37
Java开发工程师	上海华天创智软件有限公司	15000	20000	本科	3-4	上海-浦东新区	民营公司	2022-01-01 04:00:37
Java开发工程师	上海瑞车信息科技有限公司	20000	25000	大专	5-7	上海-徐汇区	上市公司	2022-01-01 04:00:37
后端Java开发工程师	杭州热联集团股份有限公司	150000	200000	本科	3-4	杭州-上城区	国企	2022-01-01 04:00:37
Java开发工程师	上海得逸信息技术有限公司	15000	20000	本科	3-4	杭州-余杭区	民营公司	2022-01-01 04:00:37
Java初级开发工程师	海岚（上海）包装材料有限公司	10000	15000	大专	2	上海-金山区	民营公司	2022-01-01 04:00:37
Java开发工程师	上海妙可蓝多食品科技股份有限公司	12000	17000	大专	1	上海	上市公司	2022-01-01 04:00:37
JAVA技术主管	安徽贝慕工程科技集团有限公司	7000	9000	大专	2	芜湖	民营公司	2022-01-01 04:00:37
Java高级开发工程师	上海士清信息技术有限公司	15000	30000	本科	3-4	上海-静安区	民营公司	2022-01-01 04:00:37
Java架构师	广州若羽臣科技股份有限公司	25000	35000	大专	8-9	广州-黄埔区	上市公司	2022-01-01 04:00:37
Java高级开发工程师	成都鸿源锦程机器人有限公司	12000	20000	本科	5-7	成都-武侯区	民营公司	2022-01-01 04:00:37
Java开发工程师	上海胜扬信息科技有限公司	15000	20000	本科	2	上海-徐汇区	民营公司	2022-01-01 04:00:37
JAVA初级\	申通快递有限公司	15000	30000	本科	3-4	上海	上市公司	2022-01-01 04:00:37
Java资深开发工程师	深圳锦弘霖科技有限公司	17000	25000	大专	5-7	深圳-龙华区	民营公司	2022-01-01 04:00:37
Java开发工程师	腾柏新迅（上海）智能科技有限公司	12000	18000	本科	3-4	上海-浦东新区	民营公司	2022-01-01 04:00:37
Java开发工程师	吉致汽车金融有限公司	15000	20000	本科	5-7	上海	合资	2022-01-01 04:00:37
资深Java开发工程师	深圳橄榄健康信息有限公司	18000	30000	大专	5-7	深圳-南山区	民营公司	2022-01-01 04:00:37
Java开发工程师	东莞怡合达自动化股份有限公司	10000	15000	大专	3-4	东莞-横沥镇	民营公司	2022-01-01 04:00:37
Java开发工程师	广州纳诺科技股份有限公司	10000	15000	大专	3-4	佛山-顺德区	民营公司	2022-01-01 04:00:37
Java开发工程师	北京四方融创科技有限公司	10000	16000	大专	3-4	合肥-包河区	上市公司	2022-01-01 04:00:37
Java研发工程师	中建西部建设股份有限公司	13000	25000	本科	2	成都-双流区	国企	2022-01-01 04:00:37
Java开发工程师	深圳达普信科技有限公司	9000	11000	大专	3-4	广州-黄埔区	民营公司	2022-01-01 04:00:37
Java开发工程师	深圳极联信息技术股份有限公司	15000	19000	大专	3-4	广州-荔湾区	民营公司	2022-01-01 04:00:37
Java开发	深圳市智慧盾科技有限公司	10000	15000	大专	3-4	北京-海淀区	民营公司	2022-01-01 04:00:37
Java开发工程师	北京新致方舟科技有限公司	15000	20000	大专	3-4	上海-闵行区	民营公司	2022-01-01 04:00:37
Java开发工程师	深圳市法本信息技术股份有限公司	10000	15000	大专	2	苏州-虎丘区	上市公司	2022-01-01 04:00:37
Java开发工程师	蔚莱（深圳）数字科技有限公司	15000	20000	大专	3-4	深圳-福田区	民营公司	2022-01-01 04:00:37
Java高级开发工程师	上海企通数字科技有限公司	15000	25000	大专	5-7	上海-浦东新区	民营公司	2022-01-01 04:00:37
JAVA	上海百服财务咨询有限公司	25000	30000	本科	3-4	上海-徐汇区	民营公司	2022-01-01 04:00:37
JAVA开发工程师	深圳市法本信息技术有限公司上海分公司	10000	15000	大专	2	苏州-吴中区	上市公司	2022-01-01 04:00:37
Java高级开发工程师	智能云科信息科技有限公司	12000	18000	本科	5-7	沈阳-浑南区	合资	2022-01-01 04:00:37
java	上海理想信息产业（集团）有限公司	10000	17000	大专	2	北京	国企	2022-01-01 04:00:37
