排名	学校名称	综合得分	星级排名	办学层次
17	东南大学	75.79	7	世界知名高水平大学
18	四川大学	75.73	7	世界知名高水平大学
19	吉林大学	75.64	7	世界知名高水平大学
20	同济大学	75.33	7	世界知名高水平大学
21	北京航空航天大学	74.67	7	世界知名高水平大学
22	北京师范大学	74.28	7	世界知名高水平大学
23	厦门大学	73.76	7	世界知名高水平大学
24	西北工业大学	73.52	6	世界高水平大学
25	中南大学	73.50	7	世界知名高水平大学
26	东北大学	72.05	6	世界高水平大学
27	湖南大学	72.02	6	世界高水平大学
27	大连理工大学	72.02	6	世界高水平大学
29	华南理工大学	71.99	6	世界高水平大学
30	北京理工大学	69.32	6	世界高水平大学
31	兰州大学	68.46	6	世界高水平大学
32	华东师范大学	68.29	6	世界高水平大学
33	中国农业大学	68.08	6	世界高水平大学
34	电子科技大学	67.57	6	世界高水平大学
35	重庆大学	67.47	6	世界高水平大学
36	华中农业大学	67.14	6	世界高水平大学
37	河海大学	67.05	6	世界高水平大学
38	南京农业大学	66.97	5	中国一流大学
39	华中师范大学	66.91	5	中国一流大学
40	郑州大学	66.90	5	中国一流大学
41	中国海洋大学	66.85	6	世界高水平大学
41	西安电子科技大学	66.85	5	中国一流大学
43	北京科技大学	66.80	5	中国一流大学
43	南京理工大学	66.80	5	中国一流大学
45	北京交通大学	66.67	5	中国一流大学
46	华东理工大学	66.47	5	中国一流大学
47	北京邮电大学	66.42	6	世界高水平大学
48	合肥工业大学	66.38	5	中国一流大学
49	南昌大学	66.32	5	中国一流大学
50	南京航空航天大学	66.29	5	中国一流大学
51	武汉理工大学	66.28	5	中国一流大学
52	西南交通大学	66.07	5	中国一流大学
53	暨南大学	66.03	5	中国一流大学
54	西南大学	66.01	5	中国一流大学
55	西北农林科技大学	65.93	5	中国一流大学
56	东华大学	65.87	5	中国一流大学
57	西北大学	65.80	5	中国一流大学
58	中南财经政法大学	65.56	6	世界高水平大学
59	苏州大学	65.26	5	中国一流大学
60	北京化工大学	65.17	5	中国一流大学
61	昆明理工大学	65.16	5	中国一流大学
62	南京师范大学	65.12	5	中国一流大学
63	上海财经大学	65.04	6	世界高水平大学
64	湖南师范大学	65.01	5	中国一流大学
65	云南大学	65.00	5	中国一流大学
65	上海大学	65.00	4	中国高水平大学
67	哈尔滨工程大学	64.97	5	中国一流大学
68	福州大学	64.96	4	中国高水平大学
69	河南大学	64.95	4	中国高水平大学
70	华南农业大学	64.91	5	中国一流大学
71	东北师范大学	64.90	5	中国一流大学
71	北京工业大学	64.90	4	中国高水平大学
73	中国地质大学（武汉）	64.89	6	世界高水平大学
73	华南师范大学	64.89	5	中国一流大学
75	宁波大学	64.88	4	中国高水平大学
76	燕山大学	64.87	5	中国一流大学
76	中国石油大学（北京）	64.87	5	中国一流大学
78	太原理工大学	64.86	5	中国一流大学
79	上海理工大学	64.85	4	中国高水平大学
80	中国矿业大学	64.84	6	世界高水平大学
80	陕西师范大学	64.84	5	中国一流大学
80	江南大学	64.84	5	中国一流大学
80	首都师范大学	64.84	4	中国高水平大学
84	浙江工业大学	64.83	4	中国高水平大学
85	中国石油大学（华东）	64.82	6	世界高水平大学
86	浙江师范大学	64.81	4	中国高水平大学
87	河北大学	64.78	4	中国高水平大学
88	对外经济贸易大学	64.75	5	中国一流大学
89	扬州大学	64.74	4	中国高水平大学
90	江苏大学	64.73	4	中国高水平大学
91	杭州电子科技大学	64.69	4	中国高水平大学
91	辽宁大学	64.69	4	中国高水平大学
93	中央民族大学	64.68	6	世界高水平大学
94	山西大学	64.67	4	中国高水平大学
94	南京工业大学	64.67	4	中国高水平大学
96	齐鲁工业大学	64.66	4	中国高水平大学
97	广东工业大学	64.65	4	中国高水平大学
98	河南科技大学	64.64	4	中国高水平大学
99	山东师范大学	64.63	4	中国高水平大学
