排名	学校名称	综合得分	星级排名	办学层次
600	浙大宁波理工学院	60.31	1	区域知名大学
606	商洛学院	60.30	1	区域知名大学
606	泰州学院	60.30	1	区域知名大学
608	张家口学院	60.29	1	区域知名大学
608	武汉商学院	60.29	1	区域知名大学
610	四川民族学院	60.27	2	区域高水平大学
610	四川旅游学院	60.27	1	区域知名大学
612	陕西学前师范学院	60.26	1	区域知名大学
612	普洱学院	60.26	1	区域知名大学
612	景德镇学院	60.26	1	区域知名大学
615	西藏农牧学院	60.25	3	区域一流大学
616	山东农业工程学院	60.24	2	区域高水平大学
617	滇西应用技术大学	60.22	1	区域知名大学
618	天津中德应用技术大学	60.16	1	区域知名大学
619	河套学院	60.13	1	区域知名大学
619	河南工学院	60.13	1	区域知名大学
621	呼和浩特民族学院	60.12	2	区域高水平大学
621	南京特殊教育师范学院	60.12	1	区域知名大学
623	贵州商学院	60.09	1	区域知名大学
624	郑州工程技术学院	60.07	1	区域知名大学
625	滇西科技师范学院	60.06	1	区域知名大学
626	唐山师范学院	60.05	1	区域知名大学
626	阿坝师范学院	60.05	1	区域知名大学
626	广西科技师范学院	60.05	1	区域知名大学
629	豫章师范学院	60.04	1	区域知名大学
629	昭通学院	60.04	1	区域知名大学
629	首钢工学院	60.04	1	区域知名大学
632	河南财政金融学院	60.03	1	区域知名大学
632	琼台师范学院	60.03	1	区域知名大学
632	汉江师范学院	60.03	1	区域知名大学
